kind	where	before	after
legend	14_methods.md:census_growth	How the census grew across its six editions, and on what evidence each addition rests. It is in the methods chapter rather than in a results chapter because it is a statement about the search rather than about the family: each edition is a channel, and the figure is the shape of what each channel was worth. For a reader planning similar work it prices four search strategies against each other on one family. A targeted search of the obvious databases, which is where most projects stop, returned about a tenth of what exhaustive enumeration by domain signature did, and only the two genome sweeps recovered the genes no protein database holds at all.	A domain enumeration added almost everything a search by name had missed. Each bar is one taxonomic group's census-v2 records, split into the share the app's name-based searches had already found and the share the exhaustive enumeration by domain signature added: 701 of 10,936 vertebrate records were already in hand, 3 of 3,706 non-vertebrate metazoan ones, and none at all in every other group, which reflects how little the first searches looked outside the vertebrates rather than how they failed there. The figure belongs to the methods chapter because it is a statement about the search rather than about the family. For a reader planning similar work it prices two search strategies against each other on one family: a targeted search of the obvious databases, which is where most projects stop, returned about a tenth of what enumeration by domain signature did within the vertebrates, and only the genome sweeps of Chapters 4 and 5 recovered the genes no protein database holds at all.
lead-in	14_methods.md	Where the procedures themselves are.	This table says where each procedure is.
lead-in	14b_methods_controls.md	A mutation test passed on broken code	A mutation test can pass on broken code
lead-in	14b_methods_controls.md	The trimming column map	The trimming column map is checked column by column.
lead-in	14b_methods_controls.md	The residue at the column	The residue at the column is checked variant by variant.
lead-in	15_discussion.md	Whether the paralogue quartet had a fourth slot.	Whether the paralogue quartet had a fourth slot is not settled.
lead-in	15_discussion.md	Why ITPR1 alone kept its teleost duplicate.	Why ITPR1 alone kept its teleost duplicate is not settled either.
lead-in	15_discussion.md	Whether the ligand pocket's constraint is about IP₃.	Whether the ligand pocket's constraint is about IP₃ cannot be told from sequence.
lead-in	15_discussion.md	What the receptors of the enzyme-less lineages are gated by.	What gates the receptors of the enzyme-less lineages is unknown.
lead-in	16_how_it_was_made.md	The ledger is 37 tasks, of which 34 are complete.	The ledger is 37 tasks, of which 35 are complete.
lead-in	16_how_it_was_made.md	35 sessions were logged across 9 working days	36 sessions were logged across 10 working days
lead-in	16b_how_it_was_made_documents.md	The bibliography is audited on entry, and the audit caught nine references in fifty-eight.	The bibliography is audited on entry, and the audit caught nine references in 76.
lead-in	17_appendix_corrections.md	High priority	High priority requires three things simultaneously
lead-in	17_appendix_corrections.md	Medium priority	Medium priority covers a partial recovery or an unscored reading frame.
lead-in	17_appendix_corrections.md	Low priority	Low priority covers anything below the contiguity bar
lead-in	19_appendix_sensitivity.md	The reconstruction bar	The reconstruction bar has no table of its own
lead-in	19_appendix_sensitivity.md	The identity floor for what counts as a locus	The identity floor for what counts as a locus outside the vertebrates has no table either
lead-in	20_appendix_references.md	Nine of the 76 identifiers resolved to entirely different papers.	Nine of the 76 identifiers were wrong, and each resolved to an entirely different paper.
lead-in	21_appendix_assignment.md	The methods results, meaning the measurement of what the search was worth, sit entirely in Chapter 4	The methods results sit entirely in Chapter 4
lead-in	21_appendix_assignment.md	The thesis's reason.	The thesis's reason is that the number is the instrument's error bar.
lead-in	21_appendix_assignment.md	The series' reason.	The series' reason is that a paper carries its own controls.
lead-in	21_appendix_assignment.md	What a reader holding both documents should take from it.	A reader holding both documents should take one thing from it.
figure text	SuppFig1_representative_alignment	the 1,797 columns trimAl kept — the alignment the tree, the selection tests and the constraint map were computed on	trimAl kept these 1,797 columns; the tree, the selection tests and the constraint map were computed on them
figure title	SuppFig1_representative_alignment	134 representatives, per-cell residue occupancy	134 representatives are drawn as per-cell residue occupancy
figure title	SuppFig1_representative_alignment	column occupancy along the alignment (mean of 26 columns)	column occupancy varies along the alignment (mean of 26 columns)
figure text	SuppFig2_labelled_positions	red letter = the other paralogue carries a different residue; every letter checked against that paralogue's own per-residue table	a red letter marks a residue the other paralogue does not share; every letter was checked against that paralogue's own per-residue table
figure title	SuppFig2_labelled_positions	the IP3-binding core (β-trefoil + MIR): deep-layer constraint, marker = a pathogenic position	the IP3-binding core (β-trefoil + MIR) carries deep-layer constraint; each marker is a pathogenic position
figure title	SuppFig2_labelled_positions	the pore module (channel, filter, gate, luminal loop)	the pore module spans channel, filter, gate and luminal loop
figure title	SuppFig2_labelled_positions	every pathogenic position in the two regions, and the residue each paralogue carries there	every pathogenic position in the two regions is listed with the residue each paralogue carries there
figure title	SuppFig3_paralog_alignments	how many of the 249–265 orthologues cover each residue	the 249–265 orthologues cover each residue unevenly
figure title	SuppFig3_paralog_alignments	the shape screen bait coverage cannot do; the ring is the one sequence it dropped	the shape screen sees what bait coverage cannot; the ring is the one sequence it dropped
figure title	SuppFig3_paralog_alignments	the four conservation layers, and the depth control beside each deep set	the four conservation layers stand beside the depth control for each deep set
figure title	SuppFig4_codon_alignment	the codon alignment, per-codon occupancy over 57 tips; trimAl kept 2,459 of 3,253 codons (76 %)	per-codon occupancy over 57 tips shows what trimAl kept: 2,459 of 3,253 codons (76 %)
figure title	SuppFig4_codon_alignment	per-tip coverage, by the selection set the tree put the tip in	per-tip coverage is grouped by the selection set the tree put the tip in
figure title	SuppFig4_codon_alignment	what validation masked, by the route the coding sequence came from	the codons validation masked are counted by the route the coding sequence came from
figure text	SuppFig5_constraint_on_channel	59 % of scored residues sit at the ceiling: no non-synonymous substitution anywhere in the tree. 53 residues unscored	59 % of scored residues sit at the ceiling: no non-synonymous substitution anywhere in the tree. 53 residues are unscored
figure title	SuppFig5_constraint_on_channel	ITPR1 (7LHF, 2,300 resolved residues)	ITPR1 (7LHF) resolves 2,300 residues
figure title	SuppFig5_constraint_on_channel	ITPR2 (9YKK, 2,168 resolved residues)	ITPR2 (9YKK) resolves 2,168 residues
figure title	SuppFig5_constraint_on_channel	ITPR3 (8TKG, 2,210 resolved residues)	ITPR3 (8TKG) resolves 2,210 residues
figure title	SuppFig5_constraint_on_channel	ITPR3 (8TKG) painted with the selection layer instead	ITPR3 (8TKG) is painted with the selection layer instead
figure text	SuppFig6_variants_on_structure	ringed = q < 0.05 after Benjamini–Hochberg over all 15 element tests; the number above each point is its count of pathogenic positions; a triangle is an infinite odds ratio (a zero cell), drawn at the ceiling. Element labels are coloured by gene.	a ring marks q < 0.05 after Benjamini–Hochberg over all 15 element tests; the number above each point is its count of pathogenic positions; a triangle is an infinite odds ratio (a zero cell), drawn at the ceiling. Element labels are coloured by gene.
figure title	SuppFig6_variants_on_structure	which structures may carry a human variant position	two of four structures may carry a human variant position
figure title	SuppFig6_variants_on_structure	where the pathogenic variants are, per element	pathogenic variants are counted per element against the rest of the protein
figure title	absence_at_genome	The absence claims, taken to assembly level	Every absence claim holds at assembly level
figure title	architecture_by_paralog	exons: 57-58 against 104	exon counts hold at 57–58
figure title	architecture_by_paralog	span: a 4.2-fold spread	genomic span spreads 4.2-fold
figure title	architecture_by_paralog	flat across the bar	the counts stay flat across the bar
figure title	census_growth	census v1 is the app's search bundles, not a family-wide harvest — outside the vertebrates it barely searched, so these are the searches' scope, not their failure	census v1 is the app's search bundles, not a family-wide harvest. Outside the vertebrates it barely searched, so these are the searches' scope, not their failure
figure title	census_space	size of the search space	each group's records divide among the four calls
figure title	census_space	what the records are	
figure title	census_space		record counts span four orders of magnitude across groups
figure title	channel_structure	6DQN — human type-3 IP$_3$ receptor, IP$_3$-bound (class 1)	
figure title	channel_structure	viewed down the axis	the same particle is viewed down the axis
figure title	channel_structure	the permeation path	the permeation path has two constrictions
figure title	channel_structure		6DQN is viewed from the side
figure title	conservation_profile	25 IP$_3$R sequences aligned; human IP$_3$R1 numbering	25 IP$_3$R sequences are aligned on human IP$_3$R1 numbering
figure title	conservation_profile	identity over mutually covered columns	identity is scored over mutually covered columns
figure title	conservation_profile	the three comparisons	the three comparisons fall in three separate bands
figure text	contiguity_confound	D4 bar — below this a contig cannot hold the gene	D4 bar: below this a contig cannot hold the gene
figure title	contiguity_confound	Either side of the bar (189 vs 120 genomes)	Recovery differs on either side of the bar (189 vs 120 genomes)
figure title	copy_number	Copy number per genome	Copy number varies outside the vertebrates
figure title	copy_number	Copy number outside the vertebrates	
figure title	copy_number		Most genomes carry one locus per paralog
figure text	discovery_timeline	bell-shaped Ca$^{2+}$ dependence	Ca$^{2+}$ dependence is bell-shaped
figure text	discovery_timeline	three receptors, not one	three receptors are found, not one
figure text	discovery_timeline	structure of the IP$_3$-binding core	the IP$_3$-binding core is solved
figure text	discovery_timeline	cryo-EM: the tetramer at 4.7 Å	the tetramer is resolved by cryo-EM at 4.7 Å
figure text	discovery_timeline	paralogue structures with Ca$^{2+}$ and IP$_3$	paralogue structures are solved with Ca$^{2+}$ and IP$_3$
figure text	discovery_timeline	activation and gating across a ligand series	a ligand series maps activation and gating
figure text	discovery_timeline	recurrent CMT1J variant in nine families	one CMT1J variant recurs in nine families
figure title	discovery_timeline	1983–2025, 20 milestones	20 milestones span 1983–2025
figure title	discovery_timeline	the 213 references this review cites, and where the milestones fall	the 213 references this review cites are binned by year, with the milestones marked
figure text	disease_map	SCA15/16 — heterozygous deletion	heterozygous deletion causes SCA15/16
figure text	disease_map	SCA29 — missense	missense variants cause SCA29
figure text	disease_map	gain-of-function ataxia	gain-of-function variants cause ataxia
figure text	disease_map	Gillespie — de novo	de novo variants cause Gillespie syndrome
figure text	disease_map	Gillespie — biallelic	biallelic variants cause Gillespie syndrome
figure text	disease_map	isolated anhidrosis — homozygous missense	a homozygous missense causes isolated anhidrosis
figure text	disease_map	CMT1J — p.Thr1424Met	p.Thr1424Met causes CMT1J
figure text	disease_map	multisystem disorder — p.Arg2524Cys	p.Arg2524Cys causes a multisystem disorder
figure text	disease_map	CMT1J — segregating families	CMT1J runs in families
figure text	disease_map	7 residues past the gate measured in 6DQN	this variant sits 7 residues past the gate measured in 6DQN
figure title	domain_architecture	drawn to a common scale from InterPro coordinates	both families are drawn to one scale from InterPro coordinates
figure title	domain_architecture	copies per subunit — blank means the signature is absent	copies per subunit: a blank means the signature is absent
figure text	exon_tracks	no annotated gene model on any exon	no annotated gene model touches any exon
figure text	family_separation	equally close to both baits	the diagonal marks equal identity to both baits
figure title	family_separation	every control, both baits	each control has two identities
figure title	family_separation	no overlap	the two families do not overlap
figure title	family_separation	PF08709 in zebrafish	a zebrafish PF08709 query returns RyRs too
figure title	fig_s19_contiguity	the a-priori bar, calibrated	the a-priori bar survives calibration
figure title	fig_s19_contiguity	what the floor costs	every floor costs genomes
figure title	fig_s19_drift	K1's axis: the sister-family share	K1 watches the sister-family share
figure title	fig_s19_drift	the axis that actually moves	the off-family share moves
figure title	fig_s19_drift	each kill rule against the outcome	each kill rule is scored against the outcome
figure title	fragments_and_duplicates	verdict per locus	
figure title	fragments_and_duplicates	where the annotation stops	fewer than half are at a junction
figure title	fragments_and_duplicates	duplication detector vs S16's copy call	the detector matches S16's call
figure title	fragments_and_duplicates		every locus receives a verdict
figure title	gating_logic	the two ligands bind in order	ligands bind in order
figure title	gene_architecture	same protein, same exon count, different gene	each gene packs its protein differently
figure title	gene_architecture	packing	
figure title	gene_architecture		the genes differ in size, not in exons
figure title	instrument_agreement	which instrument calls each record	both instruments agree on most records
figure title	instrument_agreement	what the second instrument moved	the profiles change the call on 1,578 records
figure title	intron_positions	a universal core, per paralogue	a universal core holds in every paralogue
figure title	intron_positions	one genome per point	each point is one genome
figure title	jackhmmer_convergence	the completeness curve	each seed's inclusion curve drops towards zero
figure text	jackhmmer_s20	K1 watches the solid line; the dashed one is what it cannot see	
figure title	jackhmmer_s20	Convergence, and where D10 killed it	Each run converges, or D10 kills it
figure title	jackhmmer_s20	Drift, sister and off-family	Drift shows in the sister and off-family shares
figure title	junction_quality	the instrument's error rate	
figure title	junction_quality	no sub-intron population	no sub-intron population exists
figure title	junction_quality		under 0.2 % are unspliceable
figure suptitle	ledger_by_class	Evidence for each paralog, by vertebrate class	Evidence for each paralog varies by vertebrate class
figure title	ledger_status	What the genomic sweep found, per paralog	The genomic sweep finds each paralog in most of the 309 genomes
figure text	lesion_strata	solid: genomes with an excess. pale: with a deficit	solid bars count genomes with an excess, pale ones a deficit
figure title	lesion_strata	within-genome, identity-matched, by class	the identity-matched within-genome test runs by class
figure title	lesion_strata	ITPR3/Aves by contiguity	D4's bar splits ITPR3/Aves
figure title	lesion_strata	no dead loci to read a lesion off	
figure title	lesion_strata		all 7 ITPR candidates are full-length models
figure title	mk_profile	the primary character: monotone to the boundary	the primary character is monotone to the boundary
figure title	msa_conservation	Per-column conservation of the trimmed alignment, with human ITPR1's domains mapped through it	Conservation varies along the trimmed alignment, with human ITPR1's domains mapped through it
figure title	msa_coverage	Per-sequence coverage of the trimmed alignment (bar = group median)	Per-sequence coverage of the trimmed alignment varies by group (bar = group median)
figure title	msa_group_identity	Mean identity between groups	Mean identity between groups falls away from the vertebrates
figure title	msa_identity_heatmap	Pairwise identity over mutually covered columns, 134 representatives	The 134 representatives are most identical within a paralog, over mutually covered columns
figure title	paralog_placement	Vertebrate tips the tree does not place in a paralog, and what sits with them instead	The tree places none of these vertebrate tips in a paralog; each resolves with the neighbours shown
figure text	plant_fungal_chase	contamination call 95 %	contamination call, 95 %
figure title	plant_fungal_chase	Verdict per record	Every record receives a verdict
figure title	plant_fungal_chase	The contamination test	The contamination test reads cross-kingdom identity
figure title	profile_separation	every record scored by both profiles	
figure title	profile_separation	how far apart the two profiles land	the margin between the two profiles is wide for almost every record
figure title	profile_separation	D14 outside the vertebrates	D14 separates the families outside the vertebrates
figure title	profile_separation		both profiles score every record, and the two scores separate
figure text	proteome_copy_number	median gene set of those 15: 10,042 proteins	those 15 have a median gene set of 10,042 proteins
figure title	proteome_copy_number	758 vertebrate taxa (763 reference proteomes)	758 vertebrate taxa, 763 reference proteomes: ITPR record counts spread widely
figure title	range_by_phylum	Where the family is, per swept proteome	The family reaches these phyla, counted per swept proteome
figure figtext	receptor_overview	the sequence at those two positions, in this family only	the three human paralogues and the fly are compared at those two positions
figure figtext	receptor_overview		the three human paralogues and the fly are compared at those two positions
figure title	receptor_overview	the pathway that makes the ligand (schematic)	PLC makes the ligand (schematic)
figure title	receptor_overview	the channel, measured on 6DQN	the channel is drawn to scale (6DQN)
figure title	receptor_overview	IP$_3$ contact 1, in the IP$_3$-binding core	the first IP$_3$ contact sits in the IP$_3$-binding core
figure title	receptor_overview	selectivity filter, in the pore	the selectivity filter sits in the pore
figure title	receptor_overview		PLC makes the ligand (schematic)
figure title	receptor_overview		the channel is drawn to scale (6DQN)
figure title	receptor_overview		the first IP$_3$ contact sits in the IP$_3$-binding core
figure title	receptor_overview		the selectivity filter sits in the pore
figure text	recon_cyclostome	SH-aLRT/UFBoot of the tree's own orthology pair for this locus	each pair value is the SH-aLRT/UFBoot of the tree's own orthology pair for this locus
figure title	recon_cyclostome	S8's flank call per locus — 4 of 6 inside its null, 2 no call	S8's flanks call 4 of 6 loci; 2 get no call
figure title	recon_dated_backbone	Where the reconciliation puts each duplication, on the dated species tree	the reconciliation places each duplication on the dated species tree
figure text	recon_losses	corroborated by the genome sweep: 0	the genome sweep corroborates 0
figure title	recon_losses	What each implied loss turns out to be	the genome ledger says what each implied loss turns out to be
figure title	recon_matrix	Deepest paralog duplication, per cell	each cell places its deepest paralog duplication
figure title	recon_matrix	Every rooting of the vertebrate subtree	every rooting of the vertebrate subtree is scored by total events
figure text	reconstruction_bar	calibrated bar, in its measured gap	the calibrated bar sits in its measured gap
figure title	s11_afdb_coverage	AlphaFold DB coverage of the ITPR census	AlphaFold DB models a fifth of the census
figure title	s11_afdb_coverage	coverage against record length	usable models sit below the full-length peak
figure title	s11_plddt_domains	AlphaFold confidence, per domain, along the subunit	AlphaFold confidence varies by domain along the subunit
figure title	s11_tm_calibration	the family call, structurally	TM-scores against both families make the call structurally
figure title	s11_tm_calibration	what a TM-score means on this panel	two published bars calibrate what a TM-score means here
figure suptitle	s12_detection	Reads on each recovered locus, against its own composition-matched decoy	Each recovered locus collects reads, scored against its own composition-matched decoy
figure title	s12_instruments	streamed RNA-seq reads	streamed RNA-seq reads cross most junctions
figure title	s12_instruments	submitted transcript records	submitted transcript records span none
figure text	s15_character_matrix	D4 contiguity bar 120 genomes to the left cannot hold this gene on one contig	D4 bar: the 120 genomes to its left cannot hold this gene on one contig
figure title	s15_character_matrix	every genome × paralog cell, and the state its evidence supports	every genome × paralog cell shows the state its evidence supports
figure title	s15_integrity	within one genome	the paired test runs within one genome
figure title	s15_synteny_reach	273 of 432 regions: no gene on the contig	273 of 432 regions have no gene on their contig
figure title	s16_copy_number	3R doubled ITPR1 alone — and all three RyRs	3R doubled ITPR1 alone, and all three RyRs
figure title	s16_dcs	the 3R signature, two references	the 3R signature holds against two references
figure title	s16_paralogon	replicated in 309 genomes, against its null	2R links replicate across 309 genomes
figure title	s16_paralogon	the human windows, links and null	the null is drawn per human window
figure title	s17_channel_profile	modal-residue fraction across the pore-forming half; dashed line is that protein's own linker mean	the modal-residue fraction runs across the pore-forming half; the dashed line is that protein's own linker mean
figure title	s17_elements	constraint by element	constraint differs by element
figure title	s17_elements	the same, on a metric with no background model	the ranking holds on a metric with no background model
figure title	s17_functional_sites	the measured residues against two controls	the measured residues are scored against two controls
figure title	s17_functional_sites	what the three copies have kept alike	the three copies have kept these elements alike to different degrees
figure title	s17_variant_classifier	pathogenic vs benign, pooled; one fixed set of positions	every layer is scored on one fixed set of positions
figure title	s17_variant_classifier	where the uncertain variants sit	the uncertain variants spread along the constraint axis
figure title	s18_fig1_by_source	every scorable locus	every scorable locus enters the contrast
figure title	s18_fig1_by_source	the same contrast above D4's contiguity bar	the same contrast is drawn above D4's contiguity bar
figure title	s18_fig2_calibration	loci the annotation names correctly (n = 1077)	the bar sits inside the 1077 loci the annotation names correctly
figure title	s18_fig2_calibration	what moving the bar changes	moving the bar re-counts every state
figure title	s18_fig3_family_vs_control	the three paralogs and the sister-family control	the three paralogs stand beside the sister-family control
figure title	s18_fig4_protein_side	what the protein databases call these records	databases name records by symbol or product
figure title	s18_fig4_protein_side	the 15 proteomes S3 found nothing in	an assembly of each species resolves the 15 proteomes S3 found nothing in
figure title	s22_fig1_modules	the two modules on the receptor	the two modules sit on the receptor
figure title	s22_fig1_modules	the paired difference, under both pore definitions	the paired difference changes sign between the two pore definitions
figure title	s22_fig2_shells	the pocket, residue by residue	the pocket is measured residue by residue
figure title	s22_fig2_shells	no step at the contact shell	constraint shows no step at the contact shell
figure title	s22_fig3_omega	substitution rate by module	substitution rate is compared by module
figure title	s22_fig3_omega	and by shell	and it is compared by shell
figure title	s22_fig4_lineage	receptor without enzyme	the test's power is drawn
figure title	s22_fig4_lineage	the confound, and the control	the RyRs control the confound
figure title	s22_fig4_lineage	what the test could have seen	some taxa have no PLC
figure title	s9_branch_contrast	Two-ratio: each clade against the rest	Two-ratio models test each clade against the rest
figure title	s9_branch_contrast	Relaxed (k < 1) or intensified (k > 1)	RELAX reads k < 1 as relaxed and k > 1 as intensified
figure text	s9_bs_restarts	left of the line = local optimum, not a result	a point left of the line is a local optimum, not a result
figure title	s9_bs_restarts	Branch-site model A: every restart against its null	Branch-site model A: every restart is scored against its own null
figure text	s9_dnds_saturation	shaded: dS past the saturation bar	shading marks dS past the saturation bar
figure title	s9_omega_by_paralog	Purifying selection on every paralog	Purifying selection dominates on every paralog
figure title	sensitivity_matrix	family-level presence per genome (primary, D46)	the family coding counts presence per genome (D46)
figure title	sensitivity_matrix	paralog-resolved, worst of ITPR1/2/3	the paralog-resolved coding takes the worst of ITPR1/2/3
figure title	signal_hierarchy	four orders of magnitude	events span four decades
figure suptitle	sister_au	The three sister hypotheses for ITPR1/2/3, tested	The AU test rejects two of the three sister hypotheses for ITPR1/2/3
figure title	sister_au	what each topology costs	each constrained topology costs likelihood
figure title	sister_au	what the AU test does to it	the AU test rejects two of the three
figure title	support_profile	How much of the tree is resolved	91 of 131 nodes clear both support thresholds
figure text	synteny_caller	highest score any random window reached	no random window scores above this line
figure title	synteny_caller	Consensus overlap	Confirmed loci overlap the consensus far more than random windows do
figure title	synteny_caller	Operating point, measured	The operating point maximises call rate minus false-call rate
figure title	synteny_clade_decay	Neighbourhood conservation within and across vertebrate classes	Neighbourhood conservation is lower across vertebrate classes than within them
figure title	synteny_pair_classes	Flanking-gene sharing, one locus per species, +/-10 coding genes	Real locus pairs share far more flanking genes than their matched random windows, one locus per species, +/-10 coding genes
figure title	synteny_paralogon	Human ITPR neighbourhoods; shaded = a gene family shared with another ITPR locus	The three human ITPR neighbourhoods share the shaded gene families with one another
figure title	synteny_paralogon	Prevalence of each shared family (root key) against its random-window background	Each shared family (root key) is measured against its random-window background
figure title	taxonomic_range	signatures carried, per receptor	
figure title	taxonomic_range		each receptor carries a different subset of the signatures
figure title	tree_ml_rooted	Maximum-likelihood phylogeny of the ITPR family (134 proteins, rooted on the ryanodine receptors)	The maximum-likelihood tree of 134 family proteins recovers ITPR1, ITPR2 and ITPR3 as clades, rooted on the ryanodine receptors
figure title	validation	Boundaries vs annotated genomes	annotated genomes share the boundaries
